,Product code,Bureau of Meteorology station number,Year,Month,Mean maximum temperature (Â°C),Quality
0,IDCJAC0002,70351,2008,9,21.0,Y
1,IDCJAC0002,70351,2008,10,23.5,Y
2,IDCJAC0002,70351,2008,11,23.8,Y
3,IDCJAC0002,70351,2008,12,25.4,Y
4,IDCJAC0002,70351,2009,1,31.3,Y
5,IDCJAC0002,70351,2009,2,29.3,Y
6,IDCJAC0002,70351,2009,3,27.1,Y
7,IDCJAC0002,70351,2009,4,19.9,Y
8,IDCJAC0002,70351,2009,5,16.7,Y
9,IDCJAC0002,70351,2009,6,12.9,Y
10,IDCJAC0002,70351,2009,7,12.6,Y
11,IDCJAC0002,70351,2009,8,14.7,Y
12,IDCJAC0002,70351,2009,9,17.7,Y
13,IDCJAC0002,70351,2009,10,19.1,Y
14,IDCJAC0002,70351,2009,11,29.4,Y
15,IDCJAC0002,70351,2009,12,29.2,Y
16,IDCJAC0002,70351,2010,1,31.8,Y
17,IDCJAC0002,70351,2010,2,27.5,Y
18,IDCJAC0002,70351,2010,3,24.6,Y
19,IDCJAC0002,70351,2010,4,21.1,Y
20,IDCJAC0002,70351,2010,5,16.6,Y
21,IDCJAC0002,70351,2010,6,13.0,Y
22,IDCJAC0002,70351,2010,7,12.8,Y
23,IDCJAC0002,70351,2010,8,12.3,Y
24,IDCJAC0002,70351,2010,9,16.3,Y
25,IDCJAC0002,70351,2010,10,19.6,Y
26,IDCJAC0002,70351,2010,11,22.5,Y
27,IDCJAC0002,70351,2010,12,25.0,Y
28,IDCJAC0002,70351,2011,1,28.8,Y
29,IDCJAC0002,70351,2011,2,26.7,Y
30,IDCJAC0002,70351,2011,3,23.3,Y
31,IDCJAC0002,70351,2011,4,19.6,Y
32,IDCJAC0002,70351,2011,5,15.8,Y
33,IDCJAC0002,70351,2011,6,13.6,Y
34,IDCJAC0002,70351,2011,7,12.3,Y
35,IDCJAC0002,70351,2011,8,16.0,Y
36,IDCJAC0002,70351,2011,9,18.2,Y
37,IDCJAC0002,70351,2011,10,20.6,Y
38,IDCJAC0002,70351,2011,11,25.4,Y
39,IDCJAC0002,70351,2011,12,23.6,Y
40,IDCJAC0002,70351,2012,1,27.5,Y
41,IDCJAC0002,70351,2012,2,25.0,Y
42,IDCJAC0002,70351,2012,3,22.1,Y
43,IDCJAC0002,70351,2012,4,20.2,Y
44,IDCJAC0002,70351,2012,5,15.6,Y
45,IDCJAC0002,70351,2012,6,12.9,Y
46,IDCJAC0002,70351,2012,7,13.0,Y
47,IDCJAC0002,70351,2012,8,13.6,Y
48,IDCJAC0002,70351,2012,9,18.0,Y
49,IDCJAC0002,70351,2012,10,20.8,Y
50,IDCJAC0002,70351,2012,11,25.4,Y
51,IDCJAC0002,70351,2012,12,27.7,Y
52,IDCJAC0002,70351,2013,1,32.3,Y
53,IDCJAC0002,70351,2013,2,27.4,Y
54,IDCJAC0002,70351,2013,3,25.7,Y
55,IDCJAC0002,70351,2013,4,22.1,Y
56,IDCJAC0002,70351,2013,5,17.4,Y
57,IDCJAC0002,70351,2013,6,13.9,Y
58,IDCJAC0002,70351,2013,7,13.4,Y
59,IDCJAC0002,70351,2013,8,14.8,Y
60,IDCJAC0002,70351,2013,9,19.9,Y
61,IDCJAC0002,70351,2013,10,21.9,Y
62,IDCJAC0002,70351,2013,11,23.8,Y
63,IDCJAC0002,70351,2013,12,28.5,Y
64,IDCJAC0002,70351,2014,1,31.6,Y
65,IDCJAC0002,70351,2014,2,29.4,Y
66,IDCJAC0002,70351,2014,3,24.2,Y
67,IDCJAC0002,70351,2014,4,19.7,Y
68,IDCJAC0002,70351,2014,5,17.6,Y
69,IDCJAC0002,70351,2014,6,13.2,Y
70,IDCJAC0002,70351,2014,7,12.2,Y
71,IDCJAC0002,70351,2014,8,14.3,Y
72,IDCJAC0002,70351,2014,9,17.9,Y
73,IDCJAC0002,70351,2014,10,22.5,Y
74,IDCJAC0002,70351,2014,11,27.9,Y
75,IDCJAC0002,70351,2014,12,27.7,Y
76,IDCJAC0002,70351,2015,1,27.4,Y
77,IDCJAC0002,70351,2015,2,28.1,Y
78,IDCJAC0002,70351,2015,3,26.3,Y
79,IDCJAC0002,70351,2015,4,19.4,Y
80,IDCJAC0002,70351,2015,5,16.3,Y
81,IDCJAC0002,70351,2015,6,13.8,Y
82,IDCJAC0002,70351,2015,7,11.5,Y
83,IDCJAC0002,70351,2015,8,13.7,Y
84,IDCJAC0002,70351,2015,9,17.4,Y
85,IDCJAC0002,70351,2015,10,24.8,Y
86,IDCJAC0002,70351,2015,11,25.3,Y
87,IDCJAC0002,70351,2015,12,29.3,Y
88,IDCJAC0002,70351,2016,1,28.5,Y
89,IDCJAC0002,70351,2016,2,29.3,Y
90,IDCJAC0002,70351,2016,3,27.7,Y
91,IDCJAC0002,70351,2016,4,23.9,Y
92,IDCJAC0002,70351,2016,5,17.4,Y
93,IDCJAC0002,70351,2016,6,13.0,Y
94,IDCJAC0002,70351,2016,7,12.7,Y
95,IDCJAC0002,70351,2016,8,14.3,Y
96,IDCJAC0002,70351,2016,9,15.8,Y
97,IDCJAC0002,70351,2016,10,18.5,Y
98,IDCJAC0002,70351,2016,11,24.8,Y
99,IDCJAC0002,70351,2016,12,28.7,Y
100,IDCJAC0002,70351,2017,1,32.8,Y
101,IDCJAC0002,70351,2017,2,30.1,Y
102,IDCJAC0002,70351,2017,3,25.9,Y
103,IDCJAC0002,70351,2017,4,19.9,Y
104,IDCJAC0002,70351,2017,5,16.4,Y
105,IDCJAC0002,70351,2017,6,13.6,Y
106,IDCJAC0002,70351,2017,7,12.9,Y
107,IDCJAC0002,70351,2017,8,13.9,Y
108,IDCJAC0002,70351,2017,9,18.1,Y
109,IDCJAC0002,70351,2017,10,23.2,Y
110,IDCJAC0002,70351,2017,11,24.3,Y
111,IDCJAC0002,70351,2017,12,27.8,Y
112,IDCJAC0002,70351,2018,1,31.6,Y
113,IDCJAC0002,70351,2018,2,29.0,Y
114,IDCJAC0002,70351,2018,3,26.3,Y
115,IDCJAC0002,70351,2018,4,25.0,Y
116,IDCJAC0002,70351,2018,5,17.5,Y
117,IDCJAC0002,70351,2018,6,13.2,Y
118,IDCJAC0002,70351,2018,7,13.3,Y
119,IDCJAC0002,70351,2018,8,13.9,Y
120,IDCJAC0002,70351,2018,9,18.0,Y
121,IDCJAC0002,70351,2018,10,22.8,Y
122,IDCJAC0002,70351,2018,11,24.5,Y
123,IDCJAC0002,70351,2018,12,29.3,Y
124,IDCJAC0002,70351,2019,1,34.5,Y
125,IDCJAC0002,70351,2019,2,29.1,Y
126,IDCJAC0002,70351,2019,3,26.0,Y
127,IDCJAC0002,70351,2019,4,22.6,Y
128,IDCJAC0002,70351,2019,5,16.6,Y
129,IDCJAC0002,70351,2019,6,14.1,Y
130,IDCJAC0002,70351,2019,7,13.7,Y
131,IDCJAC0002,70351,2019,8,14.2,Y
132,IDCJAC0002,70351,2019,9,18.8,Y
133,IDCJAC0002,70351,2019,10,23.6,Y
134,IDCJAC0002,70351,2019,11,26.8,Y
135,IDCJAC0002,70351,2019,12,31.7,Y
136,IDCJAC0002,70351,2020,1,31.7,Y
137,IDCJAC0002,70351,2020,2,27.7,Y
138,IDCJAC0002,70351,2020,3,23.4,Y
139,IDCJAC0002,70351,2020,4,18.9,Y
140,IDCJAC0002,70351,2020,5,15.0,Y
141,IDCJAC0002,70351,2020,6,13.5,Y
142,IDCJAC0002,70351,2020,7,13.2,Y
143,IDCJAC0002,70351,2020,8,12.8,Y
144,IDCJAC0002,70351,2020,9,17.6,Y
145,IDCJAC0002,70351,2020,10,20.3,Y
146,IDCJAC0002,70351,2020,11,25.1,Y
147,IDCJAC0002,70351,2020,12,25.4,N
