,month,soi
0,1876-01-01,11.3
1,1876-02-01,11.0
2,1876-03-01,0.2
3,1876-04-01,9.4
4,1876-05-01,6.8
5,1876-06-01,17.2
6,1876-07-01,-5.6
7,1876-08-01,12.3
8,1876-09-01,10.5
9,1876-10-01,-8.0
10,1876-11-01,-2.7
11,1876-12-01,-3.0
12,1877-01-01,-9.7
13,1877-02-01,-6.5
14,1877-03-01,-4.7
15,1877-04-01,-9.6
16,1877-05-01,3.6
17,1877-06-01,-16.8
18,1877-07-01,-10.2
19,1877-08-01,-8.2
20,1877-09-01,-17.2
21,1877-10-01,-16.0
22,1877-11-01,-12.6
23,1877-12-01,-12.6
24,1878-01-01,-8.7
25,1878-02-01,-21.1
26,1878-03-01,-15.5
27,1878-04-01,-8.8
28,1878-05-01,2.1
29,1878-06-01,-3.1
30,1878-07-01,15.9
31,1878-08-01,13.0
32,1878-09-01,17.7
33,1878-10-01,10.9
34,1878-11-01,15.1
35,1878-12-01,17.9
36,1879-01-01,12.7
37,1879-02-01,14.3
38,1879-03-01,13.2
39,1879-04-01,12.7
40,1879-05-01,2.1
41,1879-06-01,16.4
42,1879-07-01,21.8
43,1879-08-01,22.6
44,1879-09-01,18.9
45,1879-10-01,15.2
46,1879-11-01,9.8
47,1879-12-01,-5.5
48,1880-01-01,10.8
49,1880-02-01,7.7
50,1880-03-01,14.3
51,1880-04-01,5.3
52,1880-05-01,12.3
53,1880-06-01,9.1
54,1880-07-01,1.6
55,1880-08-01,14.3
56,1880-09-01,8.1
57,1880-10-01,4.8
58,1880-11-01,7.2
59,1880-12-01,-1.9
60,1881-01-01,-7.3
61,1881-02-01,-5.5
62,1881-03-01,1.8
63,1881-04-01,0.3
64,1881-05-01,-4.3
65,1881-06-01,-4.7
66,1881-07-01,-5.6
67,1881-08-01,-11.4
68,1881-09-01,-13.6
69,1881-10-01,-23.9
70,1881-11-01,7.2
71,1881-12-01,9.8
72,1882-01-01,-6.8
73,1882-02-01,-1.3
74,1882-03-01,5.1
75,1882-04-01,1.2
76,1882-05-01,6.8
77,1882-06-01,-12.0
78,1882-07-01,-21.3
79,1882-08-01,-25.6
80,1882-09-01,-14.8
81,1882-10-01,-2.5
82,1882-11-01,2.6
83,1882-12-01,10.3
84,1883-01-01,6.0
85,1883-02-01,9.1
86,1883-03-01,-25.3
87,1883-04-01,14.4
88,1883-05-01,13.9
89,1883-06-01,3.4
90,1883-07-01,-10.2
91,1883-08-01,1.4
92,1883-09-01,-8.2
93,1883-10-01,4.8
94,1883-11-01,5.2
95,1883-12-01,-15.2
96,1884-01-01,-12.5
97,1884-02-01,-5.0
98,1884-03-01,9.4
99,1884-04-01,-15.4
100,1884-05-01,1.3
101,1884-06-01,9.1
102,1884-07-01,-3.0
103,1884-08-01,-5.0
104,1884-09-01,-7.0
105,1884-10-01,4.2
106,1884-11-01,-1.4
107,1884-12-01,-12.6
108,1885-01-01,-16.3
109,1885-02-01,1.6
110,1885-03-01,5.1
111,1885-04-01,-0.5
112,1885-05-01,-4.3
113,1885-06-01,-14.4
114,1885-07-01,-5.0
115,1885-08-01,-9.5
116,1885-09-01,-4.0
117,1885-10-01,-17.8
118,1885-11-01,-15.9
119,1885-12-01,5.2
120,1886-01-01,-0.6
121,1886-02-01,1.6
122,1886-03-01,2.9
123,1886-04-01,4.5
124,1886-05-01,6.0
125,1886-06-01,5.0
126,1886-07-01,7.4
127,1886-08-01,13.6
128,1886-09-01,13.5
129,1886-10-01,13.4
130,1886-11-01,10.5
131,1886-12-01,14.4
132,1887-01-01,12.2
133,1887-02-01,11.0
134,1887-03-01,10.0
135,1887-04-01,9.4
136,1887-05-01,-4.3
137,1887-06-01,5.0
138,1887-07-01,4.8
139,1887-08-01,4.6
140,1887-09-01,5.1
141,1887-10-01,4.8
142,1887-11-01,-5.3
143,1887-12-01,5.2
144,1888-01-01,-3.0
145,1888-02-01,-2.2
146,1888-03-01,-11.7
147,1888-04-01,-23.6
148,1888-05-01,-9.8
149,1888-06-01,-16.0
150,1888-07-01,-16.7
151,1888-08-01,-8.9
152,1888-09-01,-9.4
153,1888-10-01,-14.7
154,1888-11-01,-12.6
155,1888-12-01,-2.4
156,1889-01-01,-25.9
157,1889-02-01,-1.7
158,1889-03-01,-27.5
159,1889-04-01,-0.5
160,1889-05-01,-1.9
161,1889-06-01,22.0
162,1889-07-01,1.6
163,1889-08-01,2.1
164,1889-09-01,11.1
165,1889-10-01,4.2
166,1889-11-01,23.0
167,1889-12-01,22.0
168,1890-01-01,20.8
169,1890-02-01,11.0
170,1890-03-01,14.3
171,1890-04-01,6.9
172,1890-05-01,3.6
173,1890-06-01,5.8
174,1890-07-01,-2.3
175,1890-08-01,-3.1
176,1890-09-01,9.3
177,1890-10-01,3.6
178,1890-11-01,2.6
179,1890-12-01,0.6
180,1891-01-01,15.6
181,1891-02-01,-3.6
182,1891-03-01,-9.5
183,1891-04-01,4.5
184,1891-05-01,-0.3
185,1891-06-01,-1.5
186,1891-07-01,-6.3
187,1891-08-01,-8.9
188,1891-09-01,-10.6
189,1891-10-01,0.6
190,1891-11-01,-4.7
191,1891-12-01,-4.5
192,1892-01-01,2.7
193,1892-02-01,-10.2
194,1892-03-01,11.1
195,1892-04-01,6.9
196,1892-05-01,10.0
197,1892-06-01,19.6
198,1892-07-01,7.4
199,1892-08-01,5.9
200,1892-09-01,6.3
201,1892-10-01,8.5
202,1892-11-01,-0.7
203,1892-12-01,3.7
204,1893-01-01,11.3
205,1893-02-01,7.7
206,1893-03-01,-1.4
207,1893-04-01,1.2
208,1893-05-01,-3.5
209,1893-06-01,10.7
210,1893-07-01,14.0
211,1893-08-01,7.8
212,1893-09-01,5.7
213,1893-10-01,7.9
214,1893-11-01,2.6
215,1893-12-01,1.6
216,1894-01-01,17.5
217,1894-02-01,10.0
218,1894-03-01,5.6
219,1894-04-01,-3.0
220,1894-05-01,-5.1
221,1894-06-01,-1.5
222,1894-07-01,-2.3
223,1894-08-01,-5.7
224,1894-09-01,-1.6
225,1894-10-01,1.8
226,1894-11-01,7.2
227,1894-12-01,0.1
228,1895-01-01,5.6
229,1895-02-01,3.0
230,1895-03-01,-0.3
231,1895-04-01,-7.1
232,1895-05-01,-8.2
233,1895-06-01,-4.7
234,1895-07-01,-0.4
235,1895-08-01,-6.3
236,1895-09-01,-4.0
237,1895-10-01,-5.6
238,1895-11-01,-8.6
239,1895-12-01,-3.5
240,1896-01-01,1.3
241,1896-02-01,4.9
242,1896-03-01,-6.3
243,1896-04-01,-8.8
244,1896-05-01,-42.2
245,1896-06-01,-30.6
246,1896-07-01,-20.6
247,1896-08-01,-22.4
248,1896-09-01,-19.0
249,1896-10-01,-19.0
250,1896-11-01,-11.9
251,1896-12-01,-14.2
252,1897-01-01,-12.5
253,1897-02-01,-7.4
254,1897-03-01,-16.6
255,1897-04-01,-17.8
256,1897-05-01,-16.9
257,1897-06-01,0.2
258,1897-07-01,-2.3
259,1897-08-01,0.8
260,1897-09-01,0.2
261,1897-10-01,1.8
262,1897-11-01,-8.0
263,1897-12-01,10.3
264,1898-01-01,7.0
265,1898-02-01,6.3
266,1898-03-01,19.2
267,1898-04-01,11.1
268,1898-05-01,-1.9
269,1898-06-01,-2.3
270,1898-07-01,6.1
271,1898-08-01,2.1
272,1898-09-01,3.2
273,1898-10-01,-0.7
274,1898-11-01,-2.7
275,1898-12-01,-0.4
276,1899-01-01,13.2
277,1899-02-01,9.1
278,1899-03-01,13.8
279,1899-04-01,4.5
280,1899-05-01,-7.4
281,1899-06-01,-10.4
282,1899-07-01,-5.6
283,1899-08-01,-10.1
284,1899-09-01,-1.6
285,1899-10-01,6.1
286,1899-11-01,15.8
287,1899-12-01,-3.0
288,1900-01-01,-7.3
289,1900-02-01,-6.5
290,1900-03-01,-25.3
291,1900-04-01,-18.7
292,1900-05-01,-7.4
293,1900-06-01,26.1
294,1900-07-01,10.0
295,1900-08-01,7.8
296,1900-09-01,-16.6
297,1900-10-01,-17.2
298,1900-11-01,-6.0
299,1900-12-01,-5.5
300,1901-01-01,-0.1
301,1901-02-01,3.0
302,1901-03-01,9.4
303,1901-04-01,4.5
304,1901-05-01,-0.3
305,1901-06-01,19.6
306,1901-07-01,14.6
307,1901-08-01,9.8
308,1901-09-01,-16.0
309,1901-10-01,-22.1
310,1901-11-01,-8.6
311,1901-12-01,-1.9
312,1902-01-01,17.0
313,1902-02-01,-2.2
314,1902-03-01,11.6
315,1902-04-01,7.8
316,1902-05-01,7.6
317,1902-06-01,2.6
318,1902-07-01,1.6
319,1902-08-01,-8.9
320,1902-09-01,-17.8
321,1902-10-01,-7.4
322,1902-11-01,-3.4
323,1902-12-01,-3.0
324,1903-01-01,-9.2
325,1903-02-01,-10.2
326,1903-03-01,17.6
327,1903-04-01,17.7
328,1903-05-01,7.6
329,1903-06-01,-0.6
330,1903-07-01,6.1
331,1903-08-01,0.1
332,1903-09-01,8.7
333,1903-10-01,4.2
334,1903-11-01,1.3
335,1903-12-01,15.9
336,1904-01-01,14.1
337,1904-02-01,16.2
338,1904-03-01,9.4
339,1904-04-01,31.7
340,1904-05-01,9.2
341,1904-06-01,-7.1
342,1904-07-01,-8.9
343,1904-08-01,0.8
344,1904-09-01,0.2
345,1904-10-01,1.2
346,1904-11-01,-17.2
347,1904-12-01,2.6
348,1905-01-01,-9.2
349,1905-02-01,-16.8
350,1905-03-01,-30.2
351,1905-04-01,-42.6
352,1905-05-01,-37.4
353,1905-06-01,-31.4
354,1905-07-01,-21.3
355,1905-08-01,-7.6
356,1905-09-01,-7.0
357,1905-10-01,-5.6
358,1905-11-01,-17.9
359,1905-12-01,-13.1
360,1906-01-01,-3.5
361,1906-02-01,-7.4
362,1906-03-01,-5.2
363,1906-04-01,-8.8
364,1906-05-01,1.3
365,1906-06-01,-3.9
366,1906-07-01,6.8
367,1906-08-01,15.5
368,1906-09-01,18.3
369,1906-10-01,9.1
370,1906-11-01,21.7
371,1906-12-01,4.7
372,1907-01-01,5.1
373,1907-02-01,1.6
374,1907-03-01,-0.3
375,1907-04-01,4.5
376,1907-05-01,10.0
377,1907-06-01,8.3
378,1907-07-01,-4.3
379,1907-08-01,-8.2
380,1907-09-01,0.2
381,1907-10-01,0.6
382,1907-11-01,-2.0
383,1907-12-01,8.8
384,1908-01-01,-10.6
385,1908-02-01,7.7
386,1908-03-01,0.2
387,1908-04-01,16.8
388,1908-05-01,-1.1
389,1908-06-01,-2.3
390,1908-07-01,2.2
391,1908-08-01,5.3
392,1908-09-01,17.7
393,1908-10-01,7.9
394,1908-11-01,2.6
395,1908-12-01,-5.5
396,1909-01-01,-2.5
397,1909-02-01,-3.2
398,1909-03-01,-0.3
399,1909-04-01,-14.5
400,1909-05-01,2.1
401,1909-06-01,22.8
402,1909-07-01,10.7
403,1909-08-01,9.8
404,1909-09-01,0.8
405,1909-10-01,4.2
406,1909-11-01,9.2
407,1909-12-01,4.7
408,1910-01-01,5.6
409,1910-02-01,15.2
410,1910-03-01,12.7
411,1910-04-01,5.3
412,1910-05-01,0.5
413,1910-06-01,22.0
414,1910-07-01,20.5
415,1910-08-01,9.8
416,1910-09-01,15.3
417,1910-10-01,10.3
418,1910-11-01,19.7
419,1910-12-01,15.9
420,1911-01-01,3.2
421,1911-02-01,1.6
422,1911-03-01,3.5
423,1911-04-01,2.0
424,1911-05-01,-8.2
425,1911-06-01,-12.0
426,1911-07-01,-12.8
427,1911-08-01,-12.1
428,1911-09-01,-8.8
429,1911-10-01,-11.7
430,1911-11-01,-7.3
431,1911-12-01,-1.4
432,1912-01-01,-9.7
433,1912-02-01,-17.3
434,1912-03-01,-9.0
435,1912-04-01,-21.1
436,1912-05-01,-13.0
437,1912-06-01,-6.3
438,1912-07-01,-0.4
439,1912-08-01,-7.6
440,1912-09-01,-4.0
441,1912-10-01,-8.0
442,1912-11-01,2.6
443,1912-12-01,-8.0
444,1913-01-01,-3.5
445,1913-02-01,-5.0
446,1913-03-01,1.3
447,1913-04-01,-6.3
448,1913-05-01,-8.2
449,1913-06-01,-3.9
450,1913-07-01,-1.7
451,1913-08-01,-7.6
452,1913-09-01,-9.4
453,1913-10-01,-9.2
454,1913-11-01,-11.9
455,1913-12-01,-7.0
456,1914-01-01,-5.4
457,1914-02-01,2.0
458,1914-03-01,9.4
459,1914-04-01,-14.5
460,1914-05-01,-0.3
461,1914-06-01,-16.8
462,1914-07-01,-18.0
463,1914-08-01,-17.2
464,1914-09-01,-12.4
465,1914-10-01,-8.6
466,1914-11-01,-11.9
467,1914-12-01,-1.4
468,1915-01-01,-21.6
469,1915-02-01,-2.2
470,1915-03-01,-20.4
471,1915-04-01,-17.8
472,1915-05-01,-12.2
473,1915-06-01,6.6
474,1915-07-01,14.0
475,1915-08-01,7.2
476,1915-09-01,7.5
477,1915-10-01,2.4
478,1915-11-01,-14.6
479,1915-12-01,9.8
480,1916-01-01,5.6
481,1916-02-01,-3.6
482,1916-03-01,-6.3
483,1916-04-01,-0.5
484,1916-05-01,6.8
485,1916-06-01,9.1
486,1916-07-01,25.7
487,1916-08-01,16.2
488,1916-09-01,4.5
489,1916-10-01,6.1
490,1916-11-01,9.8
491,1916-12-01,15.4
492,1917-01-01,5.1
493,1917-02-01,10.0
494,1917-03-01,18.1
495,1917-04-01,21.8
496,1917-05-01,21.8
497,1917-06-01,21.2
498,1917-07-01,28.3
499,1917-08-01,34.8
500,1917-09-01,29.7
501,1917-10-01,15.2
502,1917-11-01,21.0
503,1917-12-01,22.5
504,1918-01-01,14.6
505,1918-02-01,16.6
506,1918-03-01,-2.0
507,1918-04-01,16.8
508,1918-05-01,10.0
509,1918-06-01,-4.7
510,1918-07-01,-14.1
511,1918-08-01,-4.4
512,1918-09-01,-8.2
513,1918-10-01,-5.0
514,1918-11-01,1.3
515,1918-12-01,-8.0
516,1919-01-01,-14.9
517,1919-02-01,-11.2
518,1919-03-01,-12.8
519,1919-04-01,-3.0
520,1919-05-01,-7.4
521,1919-06-01,-10.4
522,1919-07-01,-8.9
523,1919-08-01,-6.9
524,1919-09-01,-5.8
525,1919-10-01,-10.5
526,1919-11-01,-11.3
527,1919-12-01,-9.1
528,1920-01-01,1.8
529,1920-02-01,-1.7
530,1920-03-01,-4.1
531,1920-04-01,0.3
532,1920-05-01,-2.7
533,1920-06-01,6.6
534,1920-07-01,9.4
535,1920-08-01,5.3
536,1920-09-01,5.1
537,1920-10-01,-4.3
538,1920-11-01,-0.1
539,1920-12-01,9.8
540,1921-01-01,10.8
541,1921-02-01,6.7
542,1921-03-01,8.9
543,1921-04-01,-7.1
544,1921-05-01,2.1
545,1921-06-01,22.0
546,1921-07-01,2.9
547,1921-08-01,-6.9
548,1921-09-01,5.1
549,1921-10-01,9.7
550,1921-11-01,8.5
551,1921-12-01,8.2
552,1922-01-01,8.0
553,1922-02-01,9.1
554,1922-03-01,5.6
555,1922-04-01,-5.5
556,1922-05-01,-5.1
557,1922-06-01,5.8
558,1922-07-01,2.2
559,1922-08-01,-1.2
560,1922-09-01,5.1
561,1922-10-01,6.1
562,1922-11-01,8.5
563,1922-12-01,11.8
564,1923-01-01,5.6
565,1923-02-01,4.4
566,1923-03-01,8.9
567,1923-04-01,8.6
568,1923-05-01,2.1
569,1923-06-01,1.0
570,1923-07-01,-11.5
571,1923-08-01,-18.5
572,1923-09-01,-14.8
573,1923-10-01,-6.2
574,1923-11-01,-12.6
575,1923-12-01,2.1
576,1924-01-01,-5.4
577,1924-02-01,1.1
578,1924-03-01,2.4
579,1924-04-01,-15.4
580,1924-05-01,11.5
581,1924-06-01,8.3
582,1924-07-01,7.4
583,1924-08-01,10.4
584,1924-09-01,8.1
585,1924-10-01,7.9
586,1924-11-01,11.8
587,1924-12-01,5.2
588,1925-01-01,5.6
589,1925-02-01,13.8
590,1925-03-01,14.9
591,1925-04-01,14.4
592,1925-05-01,-1.1
593,1925-06-01,-4.7
594,1925-07-01,-13.4
595,1925-08-01,-10.8
596,1925-09-01,-6.4
597,1925-10-01,-12.9
598,1925-11-01,-9.3
599,1925-12-01,-7.0
600,1926-01-01,-5.4
601,1926-02-01,-14.5
602,1926-03-01,-13.3
603,1926-04-01,-7.1
604,1926-05-01,-2.7
605,1926-06-01,-7.1
606,1926-07-01,-1.0
607,1926-08-01,-7.6
608,1926-09-01,1.4
609,1926-10-01,4.2
610,1926-11-01,1.3
611,1926-12-01,6.2
612,1927-01-01,5.1
613,1927-02-01,1.1
614,1927-03-01,18.1
615,1927-04-01,6.9
616,1927-05-01,6.0
617,1927-06-01,8.3
618,1927-07-01,6.1
619,1927-08-01,-5.0
620,1927-09-01,-0.4
621,1927-10-01,-4.3
622,1927-11-01,-8.0
623,1927-12-01,7.7
624,1928-01-01,-10.1
625,1928-02-01,10.5
626,1928-03-01,13.8
627,1928-04-01,11.9
628,1928-05-01,-2.7
629,1928-06-01,-7.9
630,1928-07-01,-0.4
631,1928-08-01,9.8
632,1928-09-01,8.1
633,1928-10-01,9.1
634,1928-11-01,2.6
635,1928-12-01,11.8
636,1929-01-01,16.0
637,1929-02-01,18.0
638,1929-03-01,5.1
639,1929-04-01,4.5
640,1929-05-01,-12.2
641,1929-06-01,1.0
642,1929-07-01,1.6
643,1929-08-01,0.1
644,1929-09-01,-0.4
645,1929-10-01,7.9
646,1929-11-01,11.1
647,1929-12-01,5.7
648,1930-01-01,12.7
649,1930-02-01,7.7
650,1930-03-01,1.8
651,1930-04-01,-3.8
652,1930-05-01,2.1
653,1930-06-01,-5.5
654,1930-07-01,-4.3
655,1930-08-01,-1.8
656,1930-09-01,-7.0
657,1930-10-01,3.6
658,1930-11-01,1.9
659,1930-12-01,-1.4
660,1931-01-01,7.0
661,1931-02-01,-14.9
662,1931-03-01,5.6
663,1931-04-01,8.6
664,1931-05-01,13.1
665,1931-06-01,18.8
666,1931-07-01,9.4
667,1931-08-01,0.1
668,1931-09-01,5.1
669,1931-10-01,-12.9
670,1931-11-01,-4.7
671,1931-12-01,4.7
672,1932-01-01,1.8
673,1932-02-01,-3.6
674,1932-03-01,-2.5
675,1932-04-01,-2.1
676,1932-05-01,2.8
677,1932-06-01,-4.7
678,1932-07-01,-5.0
679,1932-08-01,-6.9
680,1932-09-01,-8.8
681,1932-10-01,-4.3
682,1932-11-01,-4.7
683,1932-12-01,3.2
684,1933-01-01,-11.1
685,1933-02-01,4.9
686,1933-03-01,-2.0
687,1933-04-01,3.6
688,1933-05-01,6.0
689,1933-06-01,-3.9
690,1933-07-01,3.5
691,1933-08-01,-0.5
692,1933-09-01,2.0
693,1933-10-01,3.6
694,1933-11-01,7.2
695,1933-12-01,8.2
696,1934-01-01,6.5
697,1934-02-01,0.1
698,1934-03-01,0.2
699,1934-04-01,6.1
700,1934-05-01,-7.4
701,1934-06-01,10.7
702,1934-07-01,2.9
703,1934-08-01,-22.4
704,1934-09-01,-6.4
705,1934-10-01,4.2
706,1934-11-01,13.1
707,1934-12-01,-2.4
708,1935-01-01,6.5
709,1935-02-01,-4.6
710,1935-03-01,12.2
711,1935-04-01,2.8
712,1935-05-01,-6.6
713,1935-06-01,-2.3
714,1935-07-01,-0.4
715,1935-08-01,2.1
716,1935-09-01,6.3
717,1935-10-01,7.3
718,1935-11-01,3.9
719,1935-12-01,-4.0
720,1936-01-01,-2.0
721,1936-02-01,0.6
722,1936-03-01,1.8
723,1936-04-01,22.6
724,1936-05-01,4.4
725,1936-06-01,-1.5
726,1936-07-01,4.2
727,1936-08-01,-8.9
728,1936-09-01,2.6
729,1936-10-01,-0.1
730,1936-11-01,-13.9
731,1936-12-01,0.6
732,1937-01-01,9.4
733,1937-02-01,-5.0
734,1937-03-01,6.2
735,1937-04-01,2.0
736,1937-05-01,-0.3
737,1937-06-01,3.4
738,1937-07-01,-5.6
739,1937-08-01,3.3
740,1937-09-01,0.8
741,1937-10-01,-2.5
742,1937-11-01,-2.0
743,1937-12-01,6.7
744,1938-01-01,7.5
745,1938-02-01,3.4
746,1938-03-01,-3.6
747,1938-04-01,3.6
748,1938-05-01,13.1
749,1938-06-01,18.0
750,1938-07-01,18.5
751,1938-08-01,13.0
752,1938-09-01,7.5
753,1938-10-01,12.8
754,1938-11-01,1.9
755,1938-12-01,13.8
756,1939-01-01,17.0
757,1939-02-01,7.7
758,1939-03-01,11.6
759,1939-04-01,9.4
760,1939-05-01,-1.1
761,1939-06-01,-1.5
762,1939-07-01,8.1
763,1939-08-01,-0.5
764,1939-09-01,-9.4
765,1939-10-01,-14.7
766,1939-11-01,-8.0
767,1939-12-01,-8.6
768,1940-01-01,-0.1
769,1940-02-01,-4.1
770,1940-03-01,-10.6
771,1940-04-01,-9.6
772,1940-05-01,-14.5
773,1940-06-01,-19.3
774,1940-07-01,-15.4
775,1940-08-01,-18.5
776,1940-09-01,-19.6
777,1940-10-01,-18.4
778,1940-11-01,-6.7
779,1940-12-01,-29.4
780,1941-01-01,-9.7
781,1941-02-01,-15.4
782,1941-03-01,-10.6
783,1941-04-01,-11.2
784,1941-05-01,-6.6
785,1941-06-01,-14.4
786,1941-07-01,-20.6
787,1941-08-01,-19.1
788,1941-09-01,-8.2
789,1941-10-01,-20.2
790,1941-11-01,-9.3
791,1941-12-01,-8.6
792,1942-01-01,-13.0
793,1942-02-01,-3.6
794,1942-03-01,-5.8
795,1942-04-01,-5.5
796,1942-05-01,5.2
797,1942-06-01,8.3
798,1942-07-01,-1.0
799,1942-08-01,4.0
800,1942-09-01,8.7
801,1942-10-01,8.5
802,1942-11-01,-4.0
803,1942-12-01,13.8
804,1943-01-01,9.4
805,1943-02-01,10.5
806,1943-03-01,4.0
807,1943-04-01,13.5
808,1943-05-01,2.8
809,1943-06-01,-7.9
810,1943-07-01,2.9
811,1943-08-01,7.8
812,1943-09-01,5.7
813,1943-10-01,9.1
814,1943-11-01,3.9
815,1943-12-01,-8.6
816,1944-01-01,-8.2
817,1944-02-01,3.9
818,1944-03-01,5.6
819,1944-04-01,-5.5
820,1944-05-01,-1.1
821,1944-06-01,-3.9
822,1944-07-01,-8.9
823,1944-08-01,3.3
824,1944-09-01,2.6
825,1944-10-01,-8.6
826,1944-11-01,-6.7
827,1944-12-01,4.2
828,1945-01-01,5.1
829,1945-02-01,6.3
830,1945-03-01,13.2
831,1945-04-01,-7.1
832,1945-05-01,-0.3
833,1945-06-01,8.3
834,1945-07-01,3.5
835,1945-08-01,11.7
836,1945-09-01,8.7
837,1945-10-01,2.4
838,1945-11-01,-3.4
839,1945-12-01,6.7
840,1946-01-01,-2.5
841,1946-02-01,4.4
842,1946-03-01,-2.0
843,1946-04-01,-9.6
844,1946-05-01,-11.4
845,1946-06-01,-9.6
846,1946-07-01,-10.2
847,1946-08-01,-4.4
848,1946-09-01,-16.0
849,1946-10-01,-12.3
850,1946-11-01,-1.4
851,1946-12-01,-5.5
852,1947-01-01,-4.9
853,1947-02-01,-4.1
854,1947-03-01,11.6
855,1947-04-01,-4.6
856,1947-05-01,-13.7
857,1947-06-01,2.6
858,1947-07-01,9.4
859,1947-08-01,7.2
860,1947-09-01,11.7
861,1947-10-01,-1.9
862,1947-11-01,9.2
863,1947-12-01,5.2
864,1948-01-01,-3.0
865,1948-02-01,-2.7
866,1948-03-01,-4.1
867,1948-04-01,2.8
868,1948-05-01,3.6
869,1948-06-01,-4.7
870,1948-07-01,0.9
871,1948-08-01,-4.4
872,1948-09-01,-7.6
873,1948-10-01,6.1
874,1948-11-01,4.6
875,1948-12-01,-5.5
876,1949-01-01,-7.3
877,1949-02-01,2.0
878,1949-03-01,5.6
879,1949-04-01,1.2
880,1949-05-01,-5.8
881,1949-06-01,-12.0
882,1949-07-01,-1.7
883,1949-08-01,-4.4
884,1949-09-01,2.0
885,1949-10-01,5.4
886,1949-11-01,-6.0
887,1949-12-01,7.7
888,1950-01-01,5.1
889,1950-02-01,17.6
